"week","requirement_cluster","review_dataset","count"
"2021-08",20,"zomato",265
"2021-08",21,"foodpanda",52
"2021-08",21,"ubereats",146
"2021-08",21,"zomato",153
"2021-08",22,"foodpanda",67
"2021-08",22,"ubereats",124
"2021-08",22,"zomato",89
"2021-08",23,"foodpanda",1352
"2021-08",23,"ubereats",4621
"2021-08",23,"zomato",2750
"2021-08",24,"foodpanda",31
"2021-08",24,"ubereats",176
"2021-08",24,"zomato",46
"2021-08",25,"foodpanda",2
"2021-08",25,"ubereats",2
"2021-08",25,"zomato",2
"2021-08",26,"foodpanda",66
"2021-08",26,"ubereats",155
"2021-08",26,"zomato",21
"2021-08",27,"foodpanda",94
"2021-08",27,"ubereats",613
"2021-08",27,"zomato",240
"2021-08",28,"foodpanda",9
"2021-08",28,"ubereats",47
"2021-08",28,"zomato",19
"2021-08",29,"foodpanda",29
"2021-08",29,"ubereats",191
"2021-08",29,"zomato",71
"2021-08",30,"foodpanda",5
"2021-08",31,"foodpanda",22
"2021-08",31,"ubereats",60
"2021-08",31,"zomato",69
"2021-08",32,"foodpanda",914
"2021-08",32,"ubereats",3622
"2021-08",32,"zomato",1943
"2021-08",33,"foodpanda",15
"2021-08",33,"ubereats",55
"2021-08",33,"zomato",56
"2021-08",34,"foodpanda",46
"2021-08",34,"ubereats",129
"2021-08",34,"zomato",26
"2021-08",35,"foodpanda",5
"2021-08",35,"ubereats",11
"2021-08",35,"zomato",4
"2021-08",36,"foodpanda",159
"2021-08",36,"ubereats",541
"2021-08",36,"zomato",299
"2021-08",37,"foodpanda",54
"2021-08",37,"ubereats",52
"2021-08",37,"zomato",55
"2021-08",39,"foodpanda",56
"2021-08",39,"ubereats",125
"2021-08",39,"zomato",51
"2021-08",40,"foodpanda",197
"2021-08",40,"ubereats",624
"2021-08",40,"zomato",331
"2021-08",41,"ubereats",8
"2021-08",42,"foodpanda",70
"2021-08",42,"ubereats",327
"2021-08",42,"zomato",132
"2021-08",43,"foodpanda",93
"2021-08",43,"ubereats",2352
"2021-08",43,"zomato",60
"2021-08",44,"ubereats",33
"2021-08",44,"zomato",29
"2021-08",45,"foodpanda",4
"2021-08",45,"ubereats",4
"2021-08",45,"zomato",6
"2021-08",46,"foodpanda",1
"2021-08",46,"ubereats",2
"2021-08",46,"zomato",1
"2021-08",47,"foodpanda",195
"2021-08",47,"ubereats",413
"2021-08",47,"zomato",59
"2021-08",48,"foodpanda",124
"2021-08",48,"ubereats",223
"2021-08",48,"zomato",62
"2021-08",49,"foodpanda",20
"2021-08",49,"ubereats",81
"2021-08",49,"zomato",20
"2021-08",50,"foodpanda",70
"2021-08",50,"ubereats",181
"2021-08",50,"zomato",40
"2021-08",51,"foodpanda",79
"2021-08",51,"ubereats",182
"2021-08",51,"zomato",77
"2021-08",52,"foodpanda",23
"2021-08",52,"ubereats",43
"2021-08",52,"zomato",25
"2021-08",53,"foodpanda",83
"2021-08",53,"ubereats",175
"2021-08",53,"zomato",87
"2021-08",54,"foodpanda",50
"2021-08",54,"ubereats",40
"2021-08",54,"zomato",35
"2021-08",55,"foodpanda",101
"2021-08",55,"ubereats",509
"2021-08",55,"zomato",309
"2021-08",56,"foodpanda",29
"2021-08",56,"ubereats",75
"2021-08",56,"zomato",113
"2021-08",57,"foodpanda",27
"2021-08",57,"ubereats",113
"2021-08",57,"zomato",93
"2021-08",58,"foodpanda",40
"2021-08",58,"ubereats",56
"2021-08",59,"foodpanda",772
"2021-08",59,"ubereats",2559
"2021-08",59,"zomato",1455
"2021-08",60,"foodpanda",55
"2021-08",60,"ubereats",112
"2021-08",60,"zomato",87
"2021-08",61,"foodpanda",97
"2021-08",61,"ubereats",189
"2021-08",61,"zomato",200
"2021-08",62,"foodpanda",21
"2021-08",62,"ubereats",60
"2021-08",62,"zomato",18
"2021-08",63,"foodpanda",181
"2021-08",63,"ubereats",476
"2021-08",63,"zomato",119
"2021-08",64,"foodpanda",3
"2021-08",64,"ubereats",12
"2021-08",64,"zomato",1
"2021-08",65,"foodpanda",10
"2021-08",65,"ubereats",2877
"2021-08",65,"zomato",49
"2021-08",66,"foodpanda",13
"2021-08",66,"ubereats",11
"2021-08",66,"zomato",4
"2021-08",67,"foodpanda",325
"2021-08",67,"ubereats",900
"2021-08",67,"zomato",520
"2021-08",68,"foodpanda",3
"2021-08",68,"ubereats",5
"2021-08",68,"zomato",6
"2021-08",69,"foodpanda",349
"2021-08",69,"ubereats",1047
"2021-08",69,"zomato",1016
"2021-08",70,"ubereats",2
"2021-08",71,"foodpanda",446
"2021-08",71,"ubereats",1198
"2021-08",71,"zomato",863
"2021-08",72,"foodpanda",16
"2021-08",72,"ubereats",22
"2021-08",72,"zomato",7
"2021-08",73,"foodpanda",98
"2021-08",73,"ubereats",166
"2021-08",73,"zomato",234
"2021-08",74,"foodpanda",129
"2021-08",74,"ubereats",509
"2021-08",74,"zomato",259
"2021-08",75,"foodpanda",9
"2021-08",75,"ubereats",2
"2021-08",75,"zomato",3
"2021-08",76,"foodpanda",158
"2021-08",76,"ubereats",340
"2021-08",76,"zomato",193
"2021-08",77,"foodpanda",227
"2021-08",77,"ubereats",582
"2021-08",77,"zomato",274
"2021-08",78,"foodpanda",147
"2021-08",78,"ubereats",425
"2021-08",78,"zomato",136
"2021-08",79,"foodpanda",19
"2021-08",79,"ubereats",22
"2021-08",79,"zomato",41
"2021-08",81,"foodpanda",28
"2021-08",81,"ubereats",104
"2021-08",81,"zomato",46
"2021-08",82,"foodpanda",40
"2021-08",82,"ubereats",106
"2021-08",82,"zomato",46
"2021-08",83,"foodpanda",3
"2021-08",83,"ubereats",20
"2021-08",83,"zomato",4
"2021-08",84,"foodpanda",4806
"2021-08",84,"ubereats",15311
"2021-08",84,"zomato",8729
"2021-08",85,"foodpanda",36
"2021-08",85,"ubereats",160
"2021-08",85,"zomato",82
"2021-08",86,"ubereats",1
"2021-08",86,"zomato",5
"2021-08",87,"foodpanda",27
"2021-08",87,"ubereats",93
"2021-08",87,"zomato",12
"2021-08",88,"foodpanda",168
"2021-08",88,"ubereats",259
"2021-08",88,"zomato",306
"2021-08",89,"foodpanda",7
"2021-08",89,"ubereats",12
"2021-08",89,"zomato",10
"2021-08",90,"foodpanda",115
"2021-08",90,"ubereats",349
"2021-08",90,"zomato",413
"2021-08",91,"foodpanda",81
"2021-08",91,"ubereats",23
"2021-08",91,"zomato",3
"2021-08",92,"foodpanda",413
"2021-08",92,"ubereats",1911
"2021-08",92,"zomato",1339
"2021-08",93,"foodpanda",23
"2021-08",93,"ubereats",53
"2021-08",93,"zomato",22
"2021-08",94,"ubereats",2
"2021-08",95,"foodpanda",288
"2021-08",95,"ubereats",112
"2021-08",95,"zomato",65
"2021-08",96,"foodpanda",221
"2021-08",96,"ubereats",1310
"2021-08",96,"zomato",381
"2021-08",97,"foodpanda",220
"2021-08",97,"ubereats",600
"2021-08",97,"zomato",358
"2021-08",98,"foodpanda",9
"2021-08",98,"ubereats",18
"2021-08",98,"zomato",3
"2021-08",99,"foodpanda",133
"2021-08",99,"ubereats",340
"2021-08",99,"zomato",199
"2021-08",100,"foodpanda",111
"2021-08",100,"ubereats",183
"2021-08",100,"zomato",154
"2021-08",101,"foodpanda",168
"2021-08",101,"ubereats",651
"2021-08",101,"zomato",340
"2021-08",102,"foodpanda",9
"2021-08",102,"ubereats",125
"2021-08",102,"zomato",44
"2021-08",103,"foodpanda",17
"2021-08",103,"ubereats",70
"2021-08",103,"zomato",25
"2021-08",104,"foodpanda",424
"2021-08",104,"ubereats",1492
"2021-08",104,"zomato",705
"2021-08",105,"foodpanda",210
"2021-08",105,"ubereats",626
"2021-08",105,"zomato",519
"2021-08",106,"foodpanda",130
"2021-08",106,"ubereats",577
"2021-08",106,"zomato",205
"2021-08",107,"ubereats",3
"2021-08",108,"foodpanda",6
"2021-08",108,"zomato",71
"2021-08",109,"foodpanda",46
"2021-08",109,"ubereats",36
"2021-08",109,"zomato",156
"2021-08",110,"ubereats",11
"2021-08",110,"zomato",99
"2021-08",111,"foodpanda",337
"2021-08",111,"ubereats",1535
"2021-08",111,"zomato",1271
"2021-08",112,"foodpanda",1
"2021-08",112,"ubereats",7
"2021-08",113,"foodpanda",1
"2021-08",113,"ubereats",13
"2021-08",113,"zomato",21
"2021-08",114,"foodpanda",14
"2021-08",114,"ubereats",9
"2021-08",114,"zomato",19
"2021-08",115,"foodpanda",164
"2021-08",115,"ubereats",423
"2021-08",115,"zomato",148
"2021-08",116,"foodpanda",20
"2021-08",116,"ubereats",54
"2021-08",117,"foodpanda",104
"2021-08",117,"ubereats",646
"2021-08",117,"zomato",481
"2021-08",118,"foodpanda",52
"2021-08",118,"ubereats",299
"2021-08",118,"zomato",87
"2021-08",119,"foodpanda",4
"2021-08",119,"ubereats",6
"2021-08",119,"zomato",6
"2021-08",120,"foodpanda",93
"2021-08",120,"ubereats",398
"2021-08",120,"zomato",322
"2021-08",121,"foodpanda",196
"2021-08",121,"ubereats",898
"2021-08",121,"zomato",375
"2021-08",122,"foodpanda",17
"2021-08",122,"ubereats",47
"2021-08",122,"zomato",21
"2021-08",123,"foodpanda",109
"2021-08",123,"ubereats",303
"2021-08",123,"zomato",163
"2021-08",124,"foodpanda",47
"2021-08",124,"ubereats",87
"2021-08",124,"zomato",56
"2021-08",125,"foodpanda",27
"2021-08",125,"ubereats",23
"2021-08",125,"zomato",74
"2021-08",126,"foodpanda",230
"2021-08",126,"ubereats",609
"2021-08",126,"zomato",406
"2021-08",127,"foodpanda",9
"2021-08",127,"ubereats",36
"2021-08",127,"zomato",5
"2021-08",128,"foodpanda",102
"2021-08",128,"ubereats",235
"2021-08",128,"zomato",187
"2021-08",129,"foodpanda",78
"2021-08",129,"ubereats",326
"2021-08",129,"zomato",158
"2021-08",130,"foodpanda",38
"2021-08",130,"ubereats",113
"2021-08",130,"zomato",39
"2021-08",131,"foodpanda",84
"2021-08",131,"ubereats",135
"2021-08",131,"zomato",99
"2021-08",132,"foodpanda",217
"2021-08",132,"ubereats",832
"2021-08",132,"zomato",406
"2021-08",133,"foodpanda",1
"2021-08",133,"ubereats",8
"2021-08",133,"zomato",8
"2021-08",134,"foodpanda",24
"2021-08",134,"ubereats",87
"2021-08",134,"zomato",28
"2021-08",135,"foodpanda",16
"2021-08",135,"ubereats",47
"2021-08",135,"zomato",29
"2021-08",136,"foodpanda",15
"2021-08",136,"ubereats",72
"2021-08",136,"zomato",59
"2021-08",137,"foodpanda",12
"2021-08",137,"ubereats",37
"2021-08",137,"zomato",8
"2021-08",138,"foodpanda",2
"2021-08",138,"ubereats",16
"2021-08",138,"zomato",2
"2021-08",139,"foodpanda",309
"2021-08",139,"ubereats",714
"2021-08",139,"zomato",527
"2021-08",140,"foodpanda",13
"2021-08",140,"ubereats",177
"2021-08",140,"zomato",30
"2021-08",141,"foodpanda",4
"2021-08",141,"ubereats",23
"2021-08",141,"zomato",4
"2021-08",142,"foodpanda",65
"2021-08",142,"ubereats",168
"2021-08",142,"zomato",52
"2021-08",143,"foodpanda",13
"2021-08",143,"ubereats",19
"2021-08",143,"zomato",6
"2021-08",144,"foodpanda",14
"2021-08",144,"ubereats",48
